round,indicator,group,subgroup,sample_size,response,percent,standard_error,suppression,significant_1,significant_2
2,Provider offered telemedicine prior to pandemic,Total,Total,,Yes,14.1,0.7,,0,
2,Provider offered telemedicine prior to pandemic,Total,Total,,No,62.6,0.9,,0,
2,Provider offered telemedicine prior to pandemic,Total,Total,,Do not know,13.8,0.6,,0,
2,Provider offered telemedicine prior to pandemic,Total,Total,,No usual place of care,9.5,0.7,,1,
2,Provider offered telemedicine prior to pandemic,Age group,18-44 years,2206,Total,100,,,,
2,Provider offered telemedicine prior to pandemic,Age group,18-44 years,,Yes,14,1,,0,
2,Provider offered telemedicine prior to pandemic,Age group,18-44 years,,No,55.4,1.4,,0,
2,Provider offered telemedicine prior to pandemic,Age group,18-44 years,,Do not know,16.5,1.1,,1,
2,Provider offered telemedicine prior to pandemic,Age group,18-44 years,,No usual place of care,14,1.3,,1,
2,Provider offered telemedicine prior to pandemic,Age group,45-64 years,2076,Total,100,,,,
2,Provider offered telemedicine prior to pandemic,Age group,45-64 years,,Yes,14.3,0.8,,0,
2,Provider offered telemedicine prior to pandemic,Age group,45-64 years,,No,65.5,1.3,,0,
2,Provider offered telemedicine prior to pandemic,Age group,45-64 years,,Do not know,13.3,1,,0,
2,Provider offered telemedicine prior to pandemic,Age group,45-64 years,,No usual place of care,7,0.8,,0,
2,Provider offered telemedicine prior to pandemic,Age group,65 years and over,1677,Total,100,,,,
2,Provider offered telemedicine prior to pandemic,Age group,65 years and over,,Yes,14,1.1,,0,
2,Provider offered telemedicine prior to pandemic,Age group,65 years and over,,No,74,1.1,,1,
2,Provider offered telemedicine prior to pandemic,Age group,65 years and over,,Do not know,8.6,1,,1,
2,Provider offered telemedicine prior to pandemic,Age group,65 years and over,,No usual place of care,3.4,0.6,,0,
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,White non-Hispanic,4065,Total,100,,,,
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,White non-Hispanic,,Yes,12.4,0.6,,0,
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,White non-Hispanic,,No,64.6,1.1,,0,
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,White non-Hispanic,,Do not know,15,0.8,,0,
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,White non-Hispanic,,No usual place of care,8,0.8,,0,
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Black non-Hispanic,687,Total,100,,,,
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Black non-Hispanic,,Yes,18.1,1.8,,0,
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Black non-Hispanic,,No,64.3,2,,0,
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Black non-Hispanic,,Do not know,8.1,1.3,,0,
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Black non-Hispanic,,No usual place of care,9.5,1.7,,0,
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Other non-Hispanic,459,Total,100,,,,
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Other non-Hispanic,,Yes,16,2.1,,0,
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Other non-Hispanic,,No,61.3,3.1,,0,
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Other non-Hispanic,,Do not know,12.6,1.9,,0,
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Other non-Hispanic,,No usual place of care,10.1,1.8,,0,
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Hispanic,748,Total,100,,,,
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Hispanic,,Yes,17,2.6,,0,
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Hispanic,,No,54.1,3.5,,0,
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Hispanic,,Do not know,13.9,3.1,,0,
2,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Hispanic,,No usual place of care,15,1.9,,0,
2,Provider offered telemedicine prior to pandemic,Sex,Male,2585,Total,100,,,,
2,Provider offered telemedicine prior to pandemic,Sex,Male,,Yes,14.3,1,,0,
2,Provider offered telemedicine prior to pandemic,Sex,Male,,No,59.7,1.4,,0,
2,Provider offered telemedicine prior to pandemic,Sex,Male,,Do not know,14.8,1,,1,
2,Provider offered telemedicine prior to pandemic,Sex,Male,,No usual place of care,11.3,0.9,,0,
2,Provider offered telemedicine prior to pandemic,Sex,Female,3374,Total,100,,,,
2,Provider offered telemedicine prior to pandemic,Sex,Female,,Yes,14,1,,0,
2,Provider offered telemedicine prior to pandemic,Sex,Female,,No,65.3,1.1,,0,
2,Provider offered telemedicine prior to pandemic,Sex,Female,,Do not know,12.9,0.8,,0,
2,Provider offered telemedicine prior to pandemic,Sex,Female,,No usual place of care,7.9,1,,0,
2,Provider offered telemedicine prior to pandemic,Education,High school graduate or less,1100,Total,100,,,,
2,Provider offered telemedicine prior to pandemic,Education,High school graduate or less,,Yes,13.3,1.4,,0,
2,Provider offered telemedicine prior to pandemic,Education,High school graduate or less,,No,62.9,1.8,,0,
2,Provider offered telemedicine prior to pandemic,Education,High school graduate or less,,Do not know,12.6,1.3,,0,
2,Provider offered telemedicine prior to pandemic,Education,High school graduate or less,,No usual place of care,11.2,1.4,,0,
2,Provider offered telemedicine prior to pandemic,Education,Some college,2215,Total,100,,,,
2,Provider offered telemedicine prior to pandemic,Education,Some college,,Yes,14.8,1.1,,0,
2,Provider offered telemedicine prior to pandemic,Education,Some college,,No,62.5,1.2,,0,
2,Provider offered telemedicine prior to pandemic,Education,Some college,,Do not know,13.9,1.2,,0,
2,Provider offered telemedicine prior to pandemic,Education,Some college,,No usual place of care,8.7,0.8,,0,
2,Provider offered telemedicine prior to pandemic,Education,Bachelor's degree or above,2644,Total,100,,,,
2,Provider offered telemedicine prior to pandemic,Education,Bachelor's degree or above,,Yes,14.3,0.8,,0,
2,Provider offered telemedicine prior to pandemic,Education,Bachelor's degree or above,,No,62.3,1,,0,
2,Provider offered telemedicine prior to pandemic,Education,Bachelor's degree or above,,Do not know,15,0.7,,0,
2,Provider offered telemedicine prior to pandemic,Education,Bachelor's degree or above,,No usual place of care,8.4,0.6,,0,
2,Provider offered telemedicine prior to pandemic,Urbanization,Metropolitan,5304,Total,100,,,,
2,Provider offered telemedicine prior to pandemic,Urbanization,Metropolitan,,Yes,14.7,0.7,,0,
2,Provider offered telemedicine prior to pandemic,Urbanization,Metropolitan,,No,61.9,0.9,,0,
2,Provider offered telemedicine prior to pandemic,Urbanization,Metropolitan,,Do not know,13.7,0.7,,0,
2,Provider offered telemedicine prior to pandemic,Urbanization,Metropolitan,,No usual place of care,9.7,0.6,,1,
2,Provider offered telemedicine prior to pandemic,Urbanization,Non-Metropolitan,655,Total,100,,,,
2,Provider offered telemedicine prior to pandemic,Urbanization,Non-Metropolitan,,Yes,9.4,0.9,,0,
2,Provider offered telemedicine prior to pandemic,Urbanization,Non-Metropolitan,,No,68.3,3.1,,0,
2,Provider offered telemedicine prior to pandemic,Urbanization,Non-Metropolitan,,Do not know,14.5,2.6,,0,
2,Provider offered telemedicine prior to pandemic,Urbanization,Non-Metropolitan,,No usual place of care,7.8,1.8,,0,
2,Provider offered telemedicine prior to pandemic,Chronic conditions,One or more chronic conditions,3638,Total,100,,,,
2,Provider offered telemedicine prior to pandemic,Chronic conditions,One or more chronic conditions,,Yes,15.4,0.8,,0,
2,Provider offered telemedicine prior to pandemic,Chronic conditions,One or more chronic conditions,,No,66.8,1.1,,0,
2,Provider offered telemedicine prior to pandemic,Chronic conditions,One or more chronic conditions,,Do not know,11.5,0.7,,0,
2,Provider offered telemedicine prior to pandemic,Chronic conditions,One or more chronic conditions,,No usual place of care,6.2,0.5,,0,
2,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed diabetes,684,Total,100,,,,
2,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed diabetes,,Yes,18,2.2,,0,
2,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed diabetes,,No,68.7,2.4,,0,
2,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed diabetes,,Do not know,7.6,1.2,,0,
2,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed diabetes,,No usual place of care,5.7,1.4,,0,
2,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed hypertension,2181,Total,100,,,,
2,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed hypertension,,Yes,16,1,,0,
2,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed hypertension,,No,67.9,1.4,,0,
2,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed hypertension,,Do not know,10.8,0.9,,0,
2,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed hypertension,,No usual place of care,5.3,0.6,,0,
2,Provider offered telemedicine prior to pandemic,Chronic conditions,Current asthma,618,Total,100,,,,
2,Provider offered telemedicine prior to pandemic,Chronic conditions,Current asthma,,Yes,16,1.2,,0,
2,Provider offered telemedicine prior to pandemic,Chronic conditions,Current asthma,,No,63.6,2.2,,0,
2,Provider offered telemedicine prior to pandemic,Chronic conditions,Current asthma,,Do not know,11.8,2.3,,0,
2,Provider offered telemedicine prior to pandemic,Chronic conditions,Current asthma,,No usual place of care,8.6,1.4,,0,
3,Provider offered telemedicine prior to pandemic,Total,Total,1168,Total,100,,,,
3,Provider offered telemedicine prior to pandemic,Total,Total,,Yes,19.5,1.7,,1,1
3,Provider offered telemedicine prior to pandemic,Total,Total,,No,48.1,2.3,,1,1
3,Provider offered telemedicine prior to pandemic,Total,Total,,Do not know,8.1,1.4,,1,1
3,Provider offered telemedicine prior to pandemic,Total,Total,,No usual place of care,24.3,2,,1,1
3,Provider offered telemedicine prior to pandemic,Age group,18-44 years,459,Total,100,,,,
3,Provider offered telemedicine prior to pandemic,Age group,18-44 years,,Yes,16.3,2.5,,0,0
3,Provider offered telemedicine prior to pandemic,Age group,18-44 years,,No,37.2,3.3,,1,1
3,Provider offered telemedicine prior to pandemic,Age group,18-44 years,,Do not know,9.1,2.5,,0,1
3,Provider offered telemedicine prior to pandemic,Age group,18-44 years,,No usual place of care,37.4,3.4,,1,1
3,Provider offered telemedicine prior to pandemic,Age group,45-64 years,372,Total,100,,,,
3,Provider offered telemedicine prior to pandemic,Age group,45-64 years,,Yes,18.9,2.7,,0,0
3,Provider offered telemedicine prior to pandemic,Age group,45-64 years,,No,57.2,3.3,,1,1
3,Provider offered telemedicine prior to pandemic,Age group,45-64 years,,Do not know,8.4,1.8,,0,1
3,Provider offered telemedicine prior to pandemic,Age group,45-64 years,,No usual place of care,15.5,2.6,,1,1
3,Provider offered telemedicine prior to pandemic,Age group,65 years and over,337,Total,100,,,,
3,Provider offered telemedicine prior to pandemic,Age group,65 years and over,,Yes,28.6,3.7,,1,1
3,Provider offered telemedicine prior to pandemic,Age group,65 years and over,,No,60.3,4,,1,1
3,Provider offered telemedicine prior to pandemic,Age group,65 years and over,,Do not know,4.8,1.4,,1,1
3,Provider offered telemedicine prior to pandemic,Age group,65 years and over,,No usual place of care,6.2,1.8,,0,0
3,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,White non-Hispanic,716,Total,100,,,,
3,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,White non-Hispanic,,Yes,19.5,2,,1,1
3,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,White non-Hispanic,,No,53,3,,1,1
3,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,White non-Hispanic,,Do not know,8.7,1.8,,1,1
3,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,White non-Hispanic,,No usual place of care,18.9,2.4,,1,1
3,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Black non-Hispanic,196,Total,100,,,,
3,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Black non-Hispanic,,Yes,22.1,4.3,,0,0
3,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Black non-Hispanic,,No,43.2,5.1,,1,1
3,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Black non-Hispanic,,Do not know,,,*,,
3,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Black non-Hispanic,,No usual place of care,30,5.4,,1,1
3,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Other non-Hispanic,70,Total,100,,,,
3,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Other non-Hispanic,,Yes,20.2,6.1,,0,0
3,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Other non-Hispanic,,No,,,*,,
3,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Other non-Hispanic,,Do not know,,,*,,
3,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Other non-Hispanic,,No usual place of care,,,*,,
3,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Hispanic,186,Total,100,,,,
3,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Hispanic,,Yes,16.6,4.5,,0,0
3,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Hispanic,,No,40.7,5.4,,1,1
3,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Hispanic,,Do not know,,,*,,
3,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Hispanic,,No usual place of care,34.1,5.3,,1,1
3,Provider offered telemedicine prior to pandemic,Sex,Male,526,Total,100,,,,
3,Provider offered telemedicine prior to pandemic,Sex,Male,,Yes,18.8,2.4,,1,0
3,Provider offered telemedicine prior to pandemic,Sex,Male,,No,43.9,3.2,,1,1
3,Provider offered telemedicine prior to pandemic,Sex,Male,,Do not know,9.2,2.4,,0,1
3,Provider offered telemedicine prior to pandemic,Sex,Male,,No usual place of care,28,2.8,,1,1
3,Provider offered telemedicine prior to pandemic,Sex,Female,642,Total,100,,,,
3,Provider offered telemedicine prior to pandemic,Sex,Female,,Yes,20,2,,1,1
3,Provider offered telemedicine prior to pandemic,Sex,Female,,No,51.8,2.7,,1,1
3,Provider offered telemedicine prior to pandemic,Sex,Female,,Do not know,7.1,1.6,,1,1
3,Provider offered telemedicine prior to pandemic,Sex,Female,,No usual place of care,21.1,2.5,,1,1
3,Provider offered telemedicine prior to pandemic,Education,High school graduate or less,251,Total,100,,,,
3,Provider offered telemedicine prior to pandemic,Education,High school graduate or less,,Yes,17.6,3,,0,0
3,Provider offered telemedicine prior to pandemic,Education,High school graduate or less,,No,43.1,4.1,,1,1
3,Provider offered telemedicine prior to pandemic,Education,High school graduate or less,,Do not know,,,*,,
3,Provider offered telemedicine prior to pandemic,Education,High school graduate or less,,No usual place of care,32.1,4,,1,1
3,Provider offered telemedicine prior to pandemic,Education,Some college,583,Total,100,,,,
3,Provider offered telemedicine prior to pandemic,Education,Some college,,Yes,22.7,2.6,,1,1
3,Provider offered telemedicine prior to pandemic,Education,Some college,,No,49.7,3.1,,1,1
3,Provider offered telemedicine prior to pandemic,Education,Some college,,Do not know,7.2,1.4,,1,1
3,Provider offered telemedicine prior to pandemic,Education,Some college,,No usual place of care,20.4,2.3,,1,1
3,Provider offered telemedicine prior to pandemic,Education,Bachelor's degree or above,334,Total,100,,,,
3,Provider offered telemedicine prior to pandemic,Education,Bachelor's degree or above,,Yes,18.2,2.5,,0,0
3,Provider offered telemedicine prior to pandemic,Education,Bachelor's degree or above,,No,53.4,3.6,,1,1
3,Provider offered telemedicine prior to pandemic,Education,Bachelor's degree or above,,Do not know,10.4,1.5,,1,1
3,Provider offered telemedicine prior to pandemic,Education,Bachelor's degree or above,,No usual place of care,18,2.5,,1,1
3,Provider offered telemedicine prior to pandemic,Urbanization,Metropolitan,1021,Total,100,,,,
3,Provider offered telemedicine prior to pandemic,Urbanization,Metropolitan,,Yes,18.8,1.8,,1,1
3,Provider offered telemedicine prior to pandemic,Urbanization,Metropolitan,,No,48.4,2.2,,1,1
3,Provider offered telemedicine prior to pandemic,Urbanization,Metropolitan,,Do not know,8.7,1.5,,1,1
3,Provider offered telemedicine prior to pandemic,Urbanization,Metropolitan,,No usual place of care,24.1,1.9,,1,1
3,Provider offered telemedicine prior to pandemic,Urbanization,Non-Metropolitan,147,Total,100,,,,
3,Provider offered telemedicine prior to pandemic,Urbanization,Non-Metropolitan,,Yes,24.8,4.2,,1,1
3,Provider offered telemedicine prior to pandemic,Urbanization,Non-Metropolitan,,No,45.6,5.4,,1,1
3,Provider offered telemedicine prior to pandemic,Urbanization,Non-Metropolitan,,Do not know,,,*,,
3,Provider offered telemedicine prior to pandemic,Urbanization,Non-Metropolitan,,No usual place of care,26.5,6.9,,1,1
3,Provider offered telemedicine prior to pandemic,Chronic conditions,One or more chronic conditions,742,Total,100,,,,
3,Provider offered telemedicine prior to pandemic,Chronic conditions,One or more chronic conditions,,Yes,23.9,2.4,,1,1
3,Provider offered telemedicine prior to pandemic,Chronic conditions,One or more chronic conditions,,No,56.2,2.9,,1,1
3,Provider offered telemedicine prior to pandemic,Chronic conditions,One or more chronic conditions,,Do not know,7.8,2,,0,0
3,Provider offered telemedicine prior to pandemic,Chronic conditions,One or more chronic conditions,,No usual place of care,12,1.9,,1,1
3,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed diabetes,192,Total,100,,,,
3,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed diabetes,,Yes,22.8,3.4,,0,0
3,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed diabetes,,No,63.7,4.8,,0,0
3,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed diabetes,,Do not know,,,*,,
3,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed diabetes,,No usual place of care,,,*,,
3,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed hypertension,456,Total,100,,,,
3,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed hypertension,,Yes,25.4,3,,1,1
3,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed hypertension,,No,56.9,3.5,,1,1
3,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed hypertension,,Do not know,,,*,,
3,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed hypertension,,No usual place of care,11.2,2.3,,1,1
3,Provider offered telemedicine prior to pandemic,Chronic conditions,Current asthma,118,Total,100,,,,
3,Provider offered telemedicine prior to pandemic,Chronic conditions,Current asthma,,Yes,27.3,6.6,,0,0
3,Provider offered telemedicine prior to pandemic,Chronic conditions,Current asthma,,No,53,6.4,,0,0
3,Provider offered telemedicine prior to pandemic,Chronic conditions,Current asthma,,Do not know,,,*,,
3,Provider offered telemedicine prior to pandemic,Chronic conditions,Current asthma,,No usual place of care,,,*,,
